taxon_oid,domain,taxon_name
2014031002,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP1  Alice Springs, Crater Hills"
2014031003,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP3  Monarch Geyser, Norris Geyser Basin"
2014031004,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP9  Dragon Spring, Norris Geyser Basin"
2014031005,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP12  Calcite Springs, Tower Falls Region"
2014031006,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP7  Chocolate Pots"
2014031007,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP11  Octopus Springs"
2014613002,*Microbiome,Marine planktonic communities from Hawaii Ocean Times Series Station (HOT/ALOHA) - 1_Upper_euphotic_10m
2014642000,*Microbiome,Marine planktonic communities from Hawaii Ocean Times Series Station (HOT/ALOHA) - 2_Upper_euphotic_70m
2014642001,*Microbiome,Marine planktonic communities from Hawaii Ocean Times Series Station (HOT/ALOHA) - 4_Below_base_of_euphotic_200m
2014642002,*Microbiome,Marine planktonic communities from Hawaii Ocean Times Series Station (HOT/ALOHA) - 5_Below_upper_mesopelagic_500m
2014642003,*Microbiome,Marine planktonic communities from Hawaii Ocean Times Series Station (HOT/ALOHA) - 6_Oxygen_minimum_layer_770m
2014642004,*Microbiome,Marine planktonic communities from Hawaii Ocean Times Series Station (HOT/ALOHA) - 7_Deep_abyss_4000m
2015219000,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP19  Cistern Spring"
2015219001,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP2   Nymph Lake 10"
2015219002,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP15 Mushroom Spring"
2016842001,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP3  Monarch Geyser, Norris Geyser Basin"
2016842003,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP16  Fairy Spring Red Layer"
2016842004,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18  Washburn Springs #1"
2016842005,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP17 Obsidian Pool Prime"
2016842008,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP20  Bath Lake Vista Annex - Purple-Sulfur Mats"
2017108002,*Microbiome,"Bioreactor Anammox bacterial community from Nijmegen, The Netherlands - Scalindua species enirchment"
2018235000,*Microbiome,Gut Microbiota of 1 Month Old Human Infant
2018322000,*Microbiome,Gut Microbiota of 1 Month Old Human Infant
2019105001,*Microbiome,"Canis familiaris fecal microbial communities from University of Illinois at Urbana-Champaign, Illinois, USA - control 1"
2019105002,*Microbiome,Canis familiaris fecal microbial communities from University of Illinois at Urbana-Champaign - beet pulp 1
2020627003,*Microbiome,"Benzene-degrading bioreactor microbial communities from Toronto, Ontario, Canada, that are methanogenic - September 2009 gDNA_4"
2022004001,*Microbiome,"Wastewater treatment Type I Accumulibacter community from EBPR Bioreactor in Madison, WI - Type I"
2022827001,*Microbiome,Gut Microbiota of 1 Month Old Human Infant (Metafolded sample)
2022920002,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP3  Monarch Geyser, Norris Geyser Basin"
2022920003,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP5 Bath Lake Vista Annex"
2022920004,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP6  White Creek Site 3"
2022920005,*Microbiome,"Hot spring microbial communities from One Hundred Springs Plain, Yellowstone National Park, Wyoming, USA - YNP8 OSP Spring"
2022920006,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP13 Bechler Spring"
2022920007,*Microbiome,"Hot spring microbial communities from One Hundred Springs Plain, Yellowstone National Park, Wyoming, USA - YNP14 OSP Spring"
2022920008,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP4 Joseph's Coat Springs"
2022920009,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP1  Alice Springs, Crater Hills"
2022920010,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP9  Dragon Spring, Norris Geyser Basin"
2022920011,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP12  Calcite Springs, Tower Falls Region"
2022920012,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP11  Octopus Springs"
2022920013,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP7  Chocolate Pots"
2022920016,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP15 Mushroom Spring"
2022920017,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP19  Cistern Spring"
2022920018,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP16  Fairy Spring Red Layer"
2022920019,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP18  Washburn Springs #1"
2022920020,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP20  Bath Lake Vista Annex - Purple-Sulfur Mats"
2022920021,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP17 Obsidian Pool Prime"
2025206003,*Microbiome,"Hypersaline water microbial communities from Lake Tyrrell, Victoria, Australia, sample J07AB- all scaffolds"
2029527000,*Microbiome,"Green-waste compost microbial community at University of California, Davis, USA, from solid state bioreactor - Inoculum 16S MiniPCR (final assembly)"
2029527001,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - 10325 (Bechler WashU 454 Run)"
2029527002,*Microbiome,Soil microbial communities from sample at FACE Site 3 Nevada Test Site Creosote CO2-
2029527003,*Microbiome,"Apterostigma dentigerum fungus garden microbial communities from Gamboa, Panama"
2029527004,*Microbiome,Atta cephalotes fungus garden (ACEF)
2029527005,*Microbiome,Atta colombica fungus garden Top
2029527006,*Microbiome,Fungus garden microbial communities from Atta colombica in Panama -fungus garden bottom (Fungus garden bottom)
2029527007,*Microbiome,"Dendroctonus ponderosae fungus gallery microbial communities from Grand Prairie, Alberta - Hybrid pine (MPB hybrid gallery)"
2030936000,*Microbiome,"Amitermes wheeleri hindgut microbial communities from Arizona, USA (Newbler assembly)"
2030936001,*Microbiome,"Nasutitermes corniger hindgut microbial communities from Florida, USA (Newbler assembly)"
2030936003,*Microbiome,"Bioreactor anammox bacterial community from Nijmegen, The Netherlands - Brocadia fulgida enrichment"
2030936005,*Microbiome,"Cyphomyrmex longiscapus fungus garden microbial communities from Gamboa, Panama"
2032320001,*Microbiome,"PCE-dechlorinating microbial communities from Ithaca, New York, USA - mixed culture (PCEOT)"
2032320002,*Microbiome,Soil microbial communities from sample at FACE Site 3 Nevada Test Site Creosote CO2+
2032320003,*Microbiome,Soil microbial communities from sample at FACE Site 4 Nevada Test Site Crust CO2-
2032320004,*Microbiome,Soil microbial communities from sample at FACE Site 1 Maryland Estuary CO2- (Maryland Estuary ambient)
2032320005,*Microbiome,Soil microbial communities from sample at FACE Site 5 Oak Ridge CO2- (Oak Ridge ambient)
2032320006,*Microbiome,Soil microbial communities from sample at FACE Site 5 Oak Ridge CO2+ (Oak Ridge elevated CO2)
2032320008,*Microbiome,"Dendroctonus ponderosae fungus gallery microbial communities from Grand Prairie, Alberta -  MPB hybrid beetle (Lodgepole pine)"
2032320009,*Microbiome,"Mountain Pine Beetle microbial communities from Grand Prairie, Alberta, sample from Hybrid pine (MPB hybrid beetle)"
2035265001,*Microbiome,"Acrididae gut microbial communities from Texas A and M University, USA - Sample 321 (grasshopper_velvet45_4)"
2035265002,*Microbiome,"Agrotis sp. gut microbial communities from Texas A and M University, USA (cutworm_velet_41_8)"
2035918000,*Microbiome,Acromyrmex echinatior fungus garden microbial communities from Panama (combined)
2035918001,*Microbiome,"Activated sludge microbial communities from Commune de Morges, Switzerland -  plasmid pool Visp-2009 (Newbler)"
2035918003,*Microbiome,"Mountain Pine Beetle microbial communities from McBride, British Columbia, Canada - Lodgepole pine (Lodgepole pine)"
2035918004,*Microbiome,Soil microbial communities from sample at FACE Site 2 North Carolina CO2-
2035918005,*Microbiome,Soil microbial communities from sample at FACE Site 4 Nevada Test Site Crust CO2+ (NTS Crust elevated CO2)
2035918006,*Microbiome,Soil microbial communities from sample at FACE Site 1 Maryland Estuary CO2+ (Maryland Estuary elevated)
2038011000,*Microbiome,Fungus garden microbial communities from Atta colombica in Panama - from dump top (Dump top)
2040502000,*Microbiome,Fungus garden microbial communities from Atta colombica in Panama - dump bottom (Dump bottom)
2040502001,*Microbiome,Soil microbial communities from sample at FACE Site 2 North Carolina CO2+ (North Carolina Elevated CO2)
2040502002,*Microbiome,"Switchgrass rhizosphere microbial communities from Michigan, USA - East Lansing farm soil (454/Illumina contigs)"
2043231000,*Microbiome,"Xyleborus affinis microbial communities from Bern, Switzerland, sample of adult community (Ambrosia beetle adult)"
2044078000,*Microbiome,"Maize field bulk soil  microbial communities from University of Illinois Energy Farm, Urbana, IL (Bulk soil sample from field growing corn (Zea mays))"
2044078001,*Microbiome,"Maize rhizosphere soil microbial communities from University of Illinois Energy Farm, Urbana, IL (Soil sample from rhizosphere of corn (Zea mays))"
2044078002,*Microbiome,"Miscanthus rhizosphere soil microbial communities from University of Illinois Energy Farm, Urbana, IL (Rhizosphere soil sample of Miscanthus x giganteus)"
2044078003,*Microbiome,"Miscanthus field bulk soil microbial communities from University of Illinois Energy Farm, Urbana, IL (Bulk soil sample from field growing Miscanthus x giganteus)"
2044078004,*Microbiome,"Switchgrass soil  microbial communities from University of Illinois Energy Farm, Urbana, IL (Rhizosphere soil sample from switchgrass (Panicum virgatum))"
2044078005,*Microbiome,"Switchgrass field bulk soil microbial communities from University of Illinois Energy Farm, Urbana, IL (Bulk soil sample from field growing switchgrass (Panicum virgatum))"
2044078006,*Microbiome,"Dendroctonus frontalis bacterial communities from Mississippi, USA"
2044078007,*Microbiome,"Dendroctonus frontalis fungal communities from Mississippi, USA"
2044078008,*Microbiome,"Mixed alcohol bioreactor microbial communities from Texas A and M University - 55C, Day 16 (55 degree reactor)"
2044078011,*Microbiome,"Xyleborus affinis microbial communities from Bern, Switzerland, sample of larvae (Larvae community)"
2046860005,*Microbiome,"Sediment microbial communities from Lake Washington, Seattle, for Methane and Nitrogen Cycles, sample from SIP 13C-methane aerobic no nitrate additional fraction (Aerobic without added nitrate, SIP additional fraction)"
2046860006,*Microbiome,"Freshwater sediment microbial communities from Lake Washington, Seattle, for methane and nitrogen Cycles - SIP 13C methane aerobic+nitrate (Aerobic with added nitrate, 13C SIP)"
2046860007,*Microbiome,"Freshwater sediment microbial communities from Lake Washington, Seattle, for methane and nitrogen Cycles - Microc enrich af exp to meth lab w 13Ccarbon-no added nitrate (Aerobic without added nitrate, 13C SIP)"
2049941000,*Microbiome,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - 900 MB Assembly (900_MB_Assembly)"
2049941002,*Microbiome,"Sinkhole freshwater microbial communities from Lake Huron, US, Sample 419"
2051774008,*Microbiome,"Saline water microbial communities from Great Salt Lake, Utah, sample from North Arm Rozel Point"
2053563014,*Microbiome,"Hot spring sediment microbial communities from Great Boiling Spring, Nevada - surface sediment (Surface sediment)"
2058419001,*Microbiome,"Saline water microbial communities from Great Salt Lake, Utah, sample from South Arm Antelope Island 1 (South Arm Antelope Island)"
2058419003,*Microbiome,"Saline water microbial communities from Great Salt Lake, Utah, USA - North Arm Stromatolite (North Arm Stromatolite)"
2058419004,*Microbiome,"Hot spring viral communities from Great Boiling Spring, Nevada - (Water borne viral community)"
2061766000,*Microbiome,"Benzene-degrading bioreactor microbial communities from Toronto, Ontario, Canada, that are methanogenic - September 2009 gDNA_4 (Assembly with PE data)"
2061766003,*Microbiome,"Hydrothermal vent microbial communities from Guaymas and Carmen Basins, Gulf of California, Sample 457"
2061766005,*Microbiome,Elkhorn Slough cyanobacterial mat night (9pm Metatranscriptome CGUI)
2061766006,*Microbiome,Elkhorn Slough cyanobacterial mat Day (7am transcriptome CGUN)
2061766007,*Microbiome,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470 (HiSeq_Scaffolds_Complete_Set)"
2065487013,*Microbiome,Fungus-growing termite worker microbial communities from South Africa - Oerleman's Farm
2065487014,*Microbiome,Fungus garden microbial communities from termites in South Africa - Oerleman's Farm
2065487018,*Microbiome,"Soil microbial communities from Great Prairies - Iowa, Native Prairie soil (Iowa Native Prairie 454)"
2067725000,*Microbiome,Soil microbial communities from Great Prairies - Wisconsin Restored Prairie soil (Wisconsin Restored Prairie)
2067725001,*Microbiome,Soil microbial communities from Great Prairies - Wisconsin Native Prairie soil (Wisconsin Native Prairie 454)
2067725002,*Microbiome,"Soil microbial communities from Great Prairies - Iowa, Continuous Corn soil (Iowa Continuous Corn 454)"
2067725003,*Microbiome,"Soil microbial communities from Great Prairies - Wisconsin, Switchgrass soil (Wisconsin Switchgrass)"
2067725004,*Microbiome,Soil microbial communities from Great Prairies - Kansas Corn soil (Kansas Corn)
2067725009,*Microbiome,"Permafrost microbial communities from central Alaska, USA - Permafrost field sample"
2070309004,*Microbiome,"Green-waste compost microbial communities at University of California, Davis, USA, from solid state bioreactor  - Luquillo Rain Forest, Puerto Rico"
2070309009,*Microbiome,"Soil microbial communities from Great Prairies -  Kansas, Native Prairie soil (Kansas Native Prairie)"
2070309010,*Microbiome,"Bankia setacea gill microbial communities from Puget Sound, Washington, USA - sunken wood 10383 (Combined 454/Illumina assembly)"
2077657008,*Microbiome,"Bovine rumen viral communities from University of Illinois Dairy Farm in Urbana, IL, Cow rumen 7887 (Cow 7887)"
2077657009,*Microbiome,"Bovine rumen viral communities from University of Illinois Dairy Farm in Urbana, IL, Cow rumen 6993 (Cow 6993)"
2077657010,*Microbiome,"Saline water microbial communities from Great Salt Lake, Utah, sample from South Arm Stromatolite (South Arm Stromatolite)"
2077657012,*Microbiome,Bankia setacea gill microbiome from Puget Sound WA
2077657014,*Microbiome,"Marine sediment archaeal communities from Santa Barbara Basin, CA, that are methane-oxidizing, sample 6-9 cm (ANME Sed A12 6-9 cm)"
2077657018,*Microbiome,"Marine sediment archaeal communities from Santa Barbara Basin, CA, that are methane-oxidizing, sample 0-3 cm (ANME Sed A12 0-3 cm)"
2077657019,*Microbiome,"Marine sediment archaeal communities from Santa Barbara Basin, CA, that are methane-oxidizing, sample 3-6 cm (ANME Sed A12 3-6 cm)"
2077657023,*Microbiome,"Hot spring microbial communities from One Hundred Springs Plain, Yellowstone National Park, Wyoming, USA - sample OSP_B (OSP_B)"
2077657024,*Microbiome,"Hot spring microbial communities from One Hundred Springs Plain, Yellowstone National Park, Wyoming, USA - OSP_C (OSP_C)"
2081372001,*Microbiome,"Marine microbial communities from Deepwater Horizon Oil Spill, sample DHOS OV011"
2081372003,*Microbiome,"Marine microbial communities from Deepwater Horizon Oil Spill, sample, DHOS OV003"
2081372005,*Microbiome,"Rangifer tarandus platyrhynchus rumen microbial communities from Svalbard, Norway - Sample 549 (Svalbard Reindeer rumen metagenome)"
2081372006,*Microbiome,Soil microbial communities from sample at FACE Site NTS_071 Nevada Test Site (NTS_071)
2081372007,*Microbiome,"Hypersaline microbial communities from Antarctic Deep Lake, sample 24m 3.0um (24 m 3.0 um Sept 2010 combined)"
2081372008,*Microbiome,Wastewater bioreactor microbial communities from Singapore -TA reactor DNA contigs from 4 sample (Terephthalate degrading reactor metagenome contigs from 4 samples)
2081372012,*Microbiome,"Wastewater treatment Type I Accumulibacter community from EBPR Bioreactor in Madison, WI - Type I (09/10 Assembly including illumina data)"
2081372013,*Microbiome,"Hot spring microbial communities from Yellowstone National Park, USA - Norris Geyser Basin sample"
2084038000,*Microbiome,"Bovine rumen viral communities from University of Illinois Dairy Farm in Urbana, IL, Cow rumen 7664 (Cow 7664)"
2084038008,*Microbiome,"Xyleborus affinis microbial communities from Bern, Switzerland - gallery community (Gallery community)"
2084038009,*Microbiome,"Freshwater sediment microbial communities from Lake Washington, Seattle, for methane and nitrogen Cycles - from flow sorted aerobic no nitrate (Flow sorted aerobic no nitrate)"
2084038011,*Microbiome,"Hypersaline microbial communities from Antarctic Deep Lake, sample 24m 0.1um (24 m 0.1 um 454 only)"
2084038013,*Microbiome,"Anoplophora glabripennis gut microbial communities from Worchester, Massachusetts, USA - Larvae (6 May 2010 assembly)"
2084038018,*Microbiome,Fungus garden microbial communities from Trachymyrmex
2084038019,*Microbiome,"Hypersaline microbial communities from Antarctic Deep Lake, sample 5mRS 0.1um (5 mRS 0.1um 454 only)"
2084038020,*Microbiome,"Hot spring microbial communities from Great Boiling Spring, Nevada - sample 1 (Water borne 27 Oct 2010 assembly)"
2084038021,*Microbiome,"Marine sediment archaeal communities from Santa Barbara Basin, CA, that are methane-oxidizing, sample 9-12 cm (ANME Sed A12 9-12 cm)"
2084038022,*Microbiome,"Hot spring microbial community from Yellowstone National Park, USA - OSP"
2088090000,*Microbiome,"Rangifer tarandus platyrhynchus rumen microbial communities from Svalbard, Norway - Sample 549 (R.t.platyrhynchus_ua)"
2088090004,*Microbiome,"Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Permafrost Layer P1 (First assembly)"
2088090005,*Microbiome,"Sediment microbial communities from Lake Washington, Seattle, for Methane and Nitrogen Cycles, original sample replicate 1 (Original sample replicate 1)"
2088090006,*Microbiome,"Sediment microbial communities from Lake Washington, Seattle, for Methane and Nitrogen Cycles, original sample replicate 2 (Original sample replicate 2 12C fraction)"
2088090007,*Microbiome,"Freshwater sediment microbial communities from Lake Washington, Seattle, for methane and nitrogen Cycles - from flow sorted anaerobic plus nitrate (Flow sorted  anaerobic plus nitrate)"
2088090008,*Microbiome,"Permafrost microbial communities from permafrost in Bonanza Creek, Alaska -  Permafrost Layer P3 (P3 first assembly)"
2088090009,*Microbiome,"Freshwater sediment microbial communities from Lake Washington, Seattle, for methane and nitrogen Cycles - SIP 13C-methane anaerobic+nitrate (Anaerobic + nitrate SIP Nov 2010 with PE)"
2088090012,*Microbiome,"Marine sediment microbial communities from Arctic Ocean, off the coast from Alaska - sample from high methane PC12-236-260cm (High methane PC12-236-260cm)"
2088090013,*Microbiome,"Freshwater sediment microbial communities from Lake Washington, Seattle, for methane and nitrogen Cycles - SIP 13Cmethane anaerobic no nitrate (Aerobic without added nitrate, 13C SIP Nov 2010 with PE)"
2088090014,*Microbiome,"Soil microbial communities from Great Prairies - Iowa, Native Prairie soil (Iowa native prairie MSU Illumina assembly)"
2088090015,*Microbiome,"Soil microbial communities from Great Prairies - Iowa, Continuous Corn soil (Iowa corn MSU Illumina assembly)"
2088090017,*Microbiome,"Marine microbial communities from Deepwater Horizon Oil Spill, sample DHOS BM58 plume (BM58 Illumina assembly)"
2088090031,*Microbiome,Freshwater microbial communities from Lake Sakinaw in Canada: eDNA_2 (120m) (120 m)
2100351000,*Microbiome,"Microbial communities from bioreactor (seeded with sewage sludge) at LBNL, California, USA - Biofuel metagenome 1 version 2 (454/Illumina combined assembly)"
2100351001,*Microbiome,"Marine sediment microbial communities from Arctic Ocean, off the coast from Alaska - sample from low methane PC12-247-20cm (Low methane PC12-247-20cm)"
2100351003,*Microbiome,"Wastewater treatment Type I Accumulibacter community from EBPR Bioreactor in Madison, WI - Type I (Sanger/454/Illimina Metagenome Assembly < 97% CAP2UW1)"
2100351007,*Microbiome,"Sediment microbial communities from Lake Washington, Seattle, for Methane and Nitrogen Cycles, sample from flow sorted aerobic plus nitrate (Flow sorted aerobic plus nitrate)"
2100351008,*Microbiome,"Hot spring microbial communities from Beowulf Spring, Yellowstone National Park, Wyoming, USA - YNP_Beowulf Spring_E (YNP_Beowulf Spring_E)"
2100351010,*Microbiome,Groundwater dechlorinating microbial community from TCA/MEAL culture (TCA/MEAL culture Nov 2010 assembly with PE data)
2100351011,*Microbiome,"Marine sediment microbial communities from Arctic Ocean, off the coast from Alaska - sample from medium methane PC12-240-170cm (Medium methane PC12-240-170cm Sept2010 assembly)"
2100351012,*Microbiome,"Marine sediment microbial communities from Arctic Ocean, off the coast from Alaska - sample from low methane PC12-244-90cm (Low methane PC12-244-90cm Sept2010 assembly)"
2100351014,*Microbiome,"Hypersaline microbial communities from Antarctic Deep Lake, sample 13m 0.1um (13m 0.1um 454 only)"
2100351016,*Microbiome,"Sirex noctilio microbial communities from Pennsylvania, USA - adult community (Adult June 2010 assembly)"
2119805007,*Microbiome,"Hot spring microbial communities from Beowulf Spring, Yellowstone National Park, Wyoming, USA - YNP_Beowulf Spring_D (YNP_Beowulf Spring_D)"
2119805009,*Microbiome,Soil microbial communities from sample at FACE Site NTS_007 Nevada Test Site (NTS_007)
2119805011,*Microbiome,Soil microbial communities from sample at Multiple FACE and OTC sites (NTS_010)
2119805012,*Microbiome,Soil microbial communities from sample at FACE Site NTS_067 Nevada Test Site (NTS_067)
2124908004,*Microbiome,"Poplar biomass bioreactor microbial communities from Brookhaven National Lab, NY - total biomass decay community (Untrimmed scaffolds, contigs, trimmed singlets)"
2124908006,*Microbiome,Soil microbial communities from sample at FACE Site Metagenome WIR_Oz2 (WIR_Oz2)
2124908007,*Microbiome,Soil microbial communities from sample at FACE Site Metagenome WIR_ElevOz2 (WIR_ElevOz2)
2124908008,*Microbiome,Soil microbial communities from sample at FACE Site Metagenome WIR_Elev2 (WIR_Elev2)
2124908009,*Microbiome,Soil microbial communities from sample at FACE Site Metagenome WIR_Amb2 (WIR_Amb2)
2124908017,*Microbiome,"Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Bog Site B3 (Velvet_1st_assembly_BZBA)"
2124908018,*Microbiome,"Switchgrass rhizosphere microbial communities from Rose Lake, Michigan, USA - BV2.2 (BV2.2 January 2011 combined assembly)"
2124908021,*Microbiome,"Switchgrass rhizosphere bacterial communities from Rose Lake, Michigan, USA - RL3 Bulk Soil (Bulk soil RL3 January 2011 combined assembly)"
2124908023,*Microbiome,"Switchgrass rhizosphere microbial community from Michigan, USA - East Lansing bulk soil (Bulk soil GOTP January 2011 combined assembly)"
2124908025,*Microbiome,"Miscanthus rhizosphere microbial communities from Kellogg Biological Station, MSU, sample from Bulk Soil Replicate 2: eDNA_1 (Bulk soil 2 January 2011 combined assembly)"
2124908027,*Microbiome,"Miscanthus rhizosphere microbial communities from Kellogg Biological Station, MSU, sample Rhizosphere Soil Replicate 2: eDNA_1 (Rhizo 2 January 2011 combined assembly)"
2124908028,*Microbiome,"Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Bog Site B3"
2124908029,*Microbiome,"Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Active Layer A2 (A2_first_velvet)"
2124908030,*Microbiome,"Hypersaline water microbial communities from Lake Tyrrell, Victoria, Australia, August 2007, sample A07AB all scaffolds"
2124908032,*Microbiome,"Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Perma_all (Perma_all_CLC)"
2124908035,*Microbiome,"Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Bog Site B3 (B3_GZOS)"
2124908036,*Microbiome,"Soil microbial communities from permafrost in Bonanza Creek, Alaska, sample from Active Layer A5 (Active_layer_A5_velvet1)"
